,fiyat,il,ilce,mahalle,Net,OdaSayısı,BinanınYASI,BulunduguKAT,BinadakiKatSAYISI,IsıtmaTıpı,BanyoSAYISI
1100,"360,000",0,0,4,11,1,0,2,4,1,0
1101,"425,000",0,0,5,16,1,2,6,4,4,0
1102,"465,000",0,0,2,15,2,1,7,0,0,1
1103,"265,000",0,0,16,3,0,3,9,2,1,0
1104,"450,000",0,0,12,17,3,5,7,0,0,1
1105,"400,000",0,0,0,4,1,0,5,4,1,0
1106,"258,000",0,0,1,10,1,1,0,1,1,0
1107,"290,000",0,0,4,6,1,5,5,4,1,0
1108,"325,000",0,0,10,5,1,3,8,4,1,0
1109,"415,000",0,0,13,11,1,0,0,5,4,0
1110,"325,000",0,0,9,10,1,0,8,4,1,0
1111,"286,000",0,0,1,11,1,0,5,4,2,0
1112,"469,000",0,0,0,8,1,0,4,4,2,0
1113,"270,000",0,0,11,11,1,4,6,2,1,0
1114,"188,000",0,0,14,0,0,0,9,0,1,0
1115,"350,000",0,0,1,11,1,2,2,4,1,0
1116,"495,000",0,0,8,10,1,3,4,3,2,1
1117,"350,000",0,0,6,8,1,5,1,3,1,0
1118,"365,000",0,0,0,4,0,0,1,3,1,0
1119,"335,000",0,0,12,2,0,4,7,0,3,0
1120,"320,000",0,0,0,7,1,5,2,1,1,0
1121,"340,000",0,0,7,9,1,4,2,1,1,0
1122,"430,000",0,0,15,7,1,0,0,4,1,0
1123,"350,000",0,0,10,9,1,5,1,1,1,0
1124,"358,000",0,0,7,12,1,4,2,1,1,0
1125,"360,000",0,0,3,11,1,2,0,5,2,0
1126,"370,000",0,0,3,14,1,4,2,1,1,0
1127,"265,000",0,0,8,13,1,5,3,2,1,0
1128,"420,000",0,0,10,11,1,0,1,4,1,0
1129,"225,000",0,0,14,1,0,0,2,1,1,0
1130,"360,000",0,0,4,11,1,0,2,4,1,0
1131,"425,000",0,0,5,16,1,2,6,4,4,0
1132,"465,000",0,0,2,15,2,1,7,0,0,1
1133,"265,000",0,0,16,3,0,3,9,2,1,0
1134,"450,000",0,0,12,17,3,5,7,0,0,1
1135,"400,000",0,0,0,4,1,0,5,4,1,0
1136,"258,000",0,0,1,10,1,1,0,1,1,0
1137,"290,000",0,0,4,6,1,5,5,4,1,0
1138,"325,000",0,0,10,5,1,3,8,4,1,0
1139,"415,000",0,0,13,11,1,0,0,5,4,0
1140,"325,000",0,0,9,10,1,0,8,4,1,0
1141,"286,000",0,0,1,11,1,0,5,4,2,0
1142,"469,000",0,0,0,8,1,0,4,4,2,0
1143,"270,000",0,0,11,11,1,4,6,2,1,0
1144,"188,000",0,0,14,0,0,0,9,0,1,0
1145,"350,000",0,0,1,11,1,2,2,4,1,0
1146,"495,000",0,0,8,10,1,3,4,3,2,1
1147,"350,000",0,0,6,8,1,5,1,3,1,0
1148,"365,000",0,0,0,4,0,0,1,3,1,0
1149,"335,000",0,0,12,2,0,4,7,0,3,0
1150,"320,000",0,0,0,7,1,5,2,1,1,0
1151,"340,000",0,0,7,9,1,4,2,1,1,0
1152,"430,000",0,0,15,7,1,0,0,4,1,0
1153,"350,000",0,0,10,9,1,5,1,1,1,0
1154,"358,000",0,0,7,12,1,4,2,1,1,0
1155,"360,000",0,0,3,11,1,2,0,5,2,0
1156,"370,000",0,0,3,14,1,4,2,1,1,0
1157,"265,000",0,0,8,13,1,5,3,2,1,0
1158,"420,000",0,0,10,11,1,0,1,4,1,0
1159,"225,000",0,0,14,1,0,0,2,1,1,0
1160,"360,000",0,0,4,11,1,0,2,4,1,0
1161,"425,000",0,0,5,16,1,2,6,4,4,0
1162,"465,000",0,0,2,15,2,1,7,0,0,1
1163,"265,000",0,0,16,3,0,3,9,2,1,0
1164,"450,000",0,0,12,17,3,5,7,0,0,1
1165,"400,000",0,0,0,4,1,0,5,4,1,0
1166,"258,000",0,0,1,10,1,1,0,1,1,0
1167,"290,000",0,0,4,6,1,5,5,4,1,0
1168,"325,000",0,0,10,5,1,3,8,4,1,0
1169,"415,000",0,0,13,11,1,0,0,5,4,0
1170,"325,000",0,0,9,10,1,0,8,4,1,0
1171,"286,000",0,0,1,11,1,0,5,4,2,0
1172,"469,000",0,0,0,8,1,0,4,4,2,0
1173,"270,000",0,0,11,11,1,4,6,2,1,0
1174,"188,000",0,0,14,0,0,0,9,0,1,0
1175,"350,000",0,0,1,11,1,2,2,4,1,0
1176,"495,000",0,0,8,10,1,3,4,3,2,1
1177,"350,000",0,0,6,8,1,5,1,3,1,0
1178,"365,000",0,0,0,4,0,0,1,3,1,0
